Date,Shalat,Commitment,Person,Place
2024/11/13,Shubuh,Abandoned,,
2024/11/13,Dzuhur,Abandoned,,
2024/11/13,Ashar,Committed,Alone,Home
2024/11/13,Maghrib,Committed,Jamaah,Home
2024/11/13,Isya,Committed,Jamaah,Mosque
2024/11/14,Shubuh,Committed,Alone,Home
2024/11/14,Dzuhur,Committed,Jamaah,Mosque
2024/11/14,Ashar,Abandoned,,
2024/11/14,Maghrib,Committed,Alone,Home
2024/11/14,Isya,Committed,Jamaah,Mosque
2024/11/15,Shubuh,Committed,Alone,Home
2024/11/15,Dzuhur,Committed,Alone,Mosque
2024/11/15,Ashar,Committed,Jamaah,Mosque
2024/11/15,Maghrib,Committed,Jamaah,Mosque
2024/11/15,Isya,Committed,Jamaah,Mosque
2024/11/16,Shubuh,Abandoned,,
2024/11/16,Dzuhur,Committed,Jamaah,Mosque
2024/11/16,Ashar,Committed,Jamaah,Mosque
2024/11/16,Maghrib,Committed,Alone,Home
2024/11/16,Isya,Committed,Jamaah,Mosque
2024/11/17,Shubuh,Committed,Alone,Home
2024/11/17,Dzuhur,Committed,Alone,Home
2024/11/17,Ashar,Committed,Jamaah,Mosque
2024/11/17,Maghrib,Committed,Alone,Home
2024/11/17,Isya,Committed,Jamaah,Mosque
